"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword hitler should contain image","SUCCESS","2022-05-08T20:42:36.866+03:00[Europe/Bucharest]","0.0","9.88"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2022-05-08T20:42:46.78+03:00[Europe/Bucharest]","0.0","4.57"
"Search by keyword story","Searching by keyword student should display definition","SUCCESS","2022-05-08T20:42:51.377+03:00[Europe/Bucharest]","0.0","4.95"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2022-05-08T20:42:56.355+03:00[Europe/Bucharest]","0.0","5.64"
