"Story","Title","Result","Date","Stability","Duration (s)"
"Filter location story","Filter hotels by rating","ERROR","2022-05-08T20:42:36.708+03:00[Europe/Bucharest]","0.0","69.61"
"Search location story","Search location","FAILURE","2022-05-08T20:41:23.938+03:00[Europe/Bucharest]","0.0","64.88"
